source,country,country_name,product_id,product_name,product_code,emission_factor_per_meur,unit,base_year,tier
EXIOBASE,TW,台灣,126,Secondary raw materials,C_RYMS,509515.2852633023,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,127,"Bottles for treatment, Recycling of bottles by direct reuse",C_BOTW,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,128,Electricity by coal,C_POWC,12716140.91989594,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,129,Electricity by gas,C_POWG,8719771.956972973,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,130,Electricity by nuclear,C_POWN,19214.264979260293,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,131,Electricity by hydro,C_POWH,154549.66564673753,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,132,Electricity by wind,C_POWW,1588.3246260575525,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,133,Electricity by petroleum and other oil derivatives,C_POWP,6120597.830523032,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,134,Electricity by biomass and waste,C_POWB,367565.7263461614,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,135,Electricity by solar photovoltaic,C_POWS,60889.61256235942,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,136,Electricity by solar thermal,C_POWE,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,137,"Electricity by tide, wave, ocean",C_POWO,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,138,Electricity by Geothermal,C_POWM,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,139,Electricity nec,C_POWZ,45.81524687441951,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,140,Transmission services of electricity,C_POWT,3102.430358381362,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,141,Distribution and trade services of electricity,C_POWD,70.75837018604484,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,142,Coke oven gas,C_COOG,10110847.646198666,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,143,Blast Furnace Gas,C_MBFG,10110847.518060436,kg CO2e/M.EUR,2022,3
