emission_factor_id,source_database,category_code,category_name_en,category_name_zh,activity_type_en,activity_type_zh,scope3_category,unit,emission_factor,co2_emission,ch4_emission,n2o_emission,geographic_scope,year,tier_level,data_quality,gwp_version,source_url,license,notes,search_text
LEGACY_FOOTPRINTCALC_006397,FootprintCalc,PA_6_GF30,PA 6 GF30,,Materials & Chemicals,,1,kg CO2e/kg,3.536,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,PA 6 GF30 Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006398,FootprintCalc,PA_66_NYLON_66_POLYAMIDE_6-6,"PA 66 (Nylon 66, Polyamide 6-6)",,Materials & Chemicals,,1,kg CO2e/kg,6.4,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"PA 66 (Nylon 66, Polyamide 6-6) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006399,FootprintCalc,PA_66_GF30,PA 66 GF30,,Materials & Chemicals,,1,kg CO2e/kg,4.852,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,PA 66 GF30 Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006400,FootprintCalc,PA-11_NYLON-11_BIO-BASED_NOT_BIODEGRADABLE,"PA-11 (Nylon-11), bio-based not biodegradable",,Materials & Chemicals,,1,kg CO2e/kg,2.38,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"PA-11 (Nylon-11), bio-based not biodegradable Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006401,FootprintCalc,PA-11_NYLON-11_NOT_BIODEGRADABLE_CHEMICAL_UPCY,"PA-11 (Nylon-11), not biodegradable, chemical upcycled",,Materials & Chemicals,,1,kg CO2e/kg,2.38,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"PA-11 (Nylon-11), not biodegradable, chemical upcycled Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006402,FootprintCalc,PADOUK_AFRICAN_FSC/PEFC_740_KG/M3,"Padouk, African FSC/PEFC 740 (kg/m3)",,Materials & Chemicals,,1,kg CO2e/kg,0.236,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"Padouk, African FSC/PEFC 740 (kg/m3) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006403,FootprintCalc,PADOUK_AFRICAN_NATURAL_FOREST_740_KG/M3,"Padouk, African natural forest 740 (kg/m3)",,Materials & Chemicals,,1,kg CO2e/kg,3.686,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"Padouk, African natural forest 740 (kg/m3) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006404,FootprintCalc,PALISSANDER_INDISCH_FSC/PEFC_850_KG/M3,"Palissander, Indisch FSC/PEFC 850 (kg/m3)",,Materials & Chemicals,,1,kg CO2e/kg,0.226,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"Palissander, Indisch FSC/PEFC 850 (kg/m3) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006405,FootprintCalc,PALISSANDER_INDISCH_NATURAL_FOREST_850_KG/M3,"Palissander, Indisch natural forest 850 (kg/m3)",,Materials & Chemicals,,1,kg CO2e/kg,3.676,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"Palissander, Indisch natural forest 850 (kg/m3) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006406,FootprintCalc,PALLADIUM_CRM_PRIMARY,"Palladium, CRM (primary)",,Materials & Chemicals,,1,kg CO2e/kg,9335.642,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"Palladium, CRM (primary) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006407,FootprintCalc,PALLADIUM_CRM_SECONDARY,"Palladium, CRM (secondary)",,Materials & Chemicals,,1,kg CO2e/kg,311.528,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"Palladium, CRM (secondary) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006408,FootprintCalc,PALLADIUM_CRM_TRADE_MIX_67%_PRIM_33%_SEC,"Palladium, CRM, trade mix (67% prim 33% sec)",,Materials & Chemicals,,1,kg CO2e/kg,6357.684,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"Palladium, CRM, trade mix (67% prim 33% sec) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006409,FootprintCalc,PALM_KERNEL_OIL_METHYL_ESTER,Palm kernel oil methyl ester,,Materials & Chemicals,,1,kg CO2e/kg,1.624,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Palm kernel oil methyl ester Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006410,FootprintCalc,PALM_KERNEL_OIL_CRUDE_FROM_TREES,"Palm kernel oil, crude from trees",,Materials & Chemicals,,1,kg CO2e/kg,0.625,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"Palm kernel oil, crude from trees Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006411,FootprintCalc,PALM_OIL_IN_ROTTERDAM,Palm oil in Rotterdam,,Materials & Chemicals,,1,kg CO2e/kg,1.026,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Palm oil in Rotterdam Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006412,FootprintCalc,PALM_OIL_METHYL_ESTER,Palm oil methyl ester,,Materials & Chemicals,,1,kg CO2e/kg,1.518,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Palm oil methyl ester Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006413,FootprintCalc,PAPAYA_BRAZIL_EXCL_TRANSPORT,Papaya (Brazil) excl transport,,Materials & Chemicals,,1,kg CO2e/kg,0.068,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Papaya (Brazil) excl transport Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006414,FootprintCalc,PAPER_WOODFREE_UNCOATED_BLEACHED_FSC,"Paper, woodfree uncoated, bleached, FSC",,Materials & Chemicals,,1,kg CO2e/kg,0.376,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"Paper, woodfree uncoated, bleached, FSC Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006415,FootprintCalc,PAPER_WOODFREE_UNCOATED_BLEACHED_FSC_80_GR/M2,"Paper, woodfree uncoated, bleached, FSC 80 gr/m2",,Materials & Chemicals,,1,kg CO2e/m2,0.03,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"Paper, woodfree uncoated, bleached, FSC 80 gr/m2 Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/m2"
