Process,Category,EF3.1,kg CO2e
"Spring pea and spring wheat intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.044,0.32
"Spring pea and spring barley intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Intercrops\Transformation,0.044,0.33
"Spring pea, from intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.047,0.35
"Spring pea, from intercrop, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.046,0.35
"Winter pea and winter wheat intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.076,0.39
"Winter pea and winter wheat intercrop, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.043,0.32
"Winter pea and winter barley intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.042,0.31
"Winter pea and triticale grain intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.05,0.31
"Winter pea and triticale grain intercrop, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.055,0.36
"Winter pea and triticale grain intercrop, organic, system number 3, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.08,0.53
"Winter pea and triticale grain intercrop, organic, system number 4, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.065,0.45
"Winter pea, from intercrop, organic, system number 3, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.053,0.38
"Winter pea, from intercrop, organic, system number 4, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.063,0.44
"Winter pea, from intercrop, organic, system number 5, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.043,0.32
"Winter pea, from intercrop, organic, system number 6, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.073,0.38
"Winter pea, from intercrop, organic, system number 7, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.044,0.33
"Winter pea, from intercrop, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.049,0.3
"Winter pea, from intercrop, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.053,0.35
"Apple, organic, national average, at orchard {FR} U",Agricultural\Plant production\Fruits\Transformation,0.062,0.11
"Pig, organic, system number 1, at farm gate {FR} U",Agricultural\Animal production\Procine\Transformation,0.535,3.62
"Pig, organic, system number 2, at farm gate {FR} U",Agricultural\Animal production\Procine\Transformation,0.596,4.24
"Pig, organic, system number 3, at farm gate {FR} U",Agricultural\Animal production\Procine\Transformation,0.545,3.87
"Pig, organic, system number 4, at farm gate {FR} U",Agricultural\Animal production\Procine\Transformation,0.697,5.03
"Fattened pig, organic, national average, at farm gate {FR} U",Agricultural\Animal production\Procine\Transformation,0.633,4.4
"Cull hen, organic, at farm gate {FR} U",Agricultural\Animal production\Avian\Transformation,0.849,6.02
"Cull hen, organic, system number 1, at farm gate {FR} U",Agricultural\Animal production\Avian\Transformation,1.908,11.89
"Cull hen, organic, system number 2, at farm gate {FR} U",Agricultural\Animal production\Avian\Transformation,1.908,11.89
"Broiler, organic, at farm gate {FR} U",Agricultural\Animal production\Avian\Transformation,0.635,2.65
"Broiler, organic, system number 2, at farm gate {FR} U",Agricultural\Animal production\Avian\Transformation,0.68,3.14
"Broiler, organic, system number 1, at farm gate {FR} U",Agricultural\Animal production\Avian\Transformation,0.69,3.14
"Grape, organic, PDO, dry white wine, system number 1, at vineyard gate {FR} U",Agricultural\Plant production\Fruits\Transformation,0.029,0.15
"Grape, organic, PDO, dry white wine, system number 2, at vineyard gate {FR} U",Agricultural\Plant production\Fruits\Transformation,0.03,0.16
"Grape, organic, PDO, dry white wine, system number 3, at vineyard gate {FR} U",Agricultural\Plant production\Fruits\Transformation,0.055,0.24
"Grape, organic, PDO, dry white wine, system number 4, at vineyard gate {FR} U",Agricultural\Plant production\Fruits\Transformation,0.059,0.3
"Grape, organic, PDO, dry white wine, system number 5, at vineyard gate {FR} U",Agricultural\Plant production\Fruits\Transformation,0.14,0.67
"Grape, organic, AOC, Maconnais, at vineyard {FR} U",Agricultural\Plant production\Legumes\Transformation,0.134,0.63
"Grape, organic, variety mix, Languedoc-Roussillon, at vineyard {FR} U",Agricultural\Plant production\Legumes\Transformation,0.075,0.33
"Soybean grain, organic, at farm gate {CN} U",Agricultural\Plant production\Legumes\Transformation,0.101,0.84
"Soybean grain, organic, at farm gate {IN} U",Agricultural\Plant production\Legumes\Transformation,0.232,1.37
"Soybean grain, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.252,0.67
"Soybean grain, organic, system number 2, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.264,0.73
"Soybean grain, organic, system number 3, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.149,0.97
"Soybean grain, organic, system number 4, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.132,0.88
"Soybean grain, organic, system number 5, at farm gate {FR} U",Agricultural\Plant production\Legumes\Transformation,0.299,0.43
"Sorghum, organic, system number 1, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.028,0.23
"Cropping system number 1, organic, at farm gate {FR} U",Agricultural\Plant production\Intercrops\Transformation,0.056,0.2
"Cropping system number 10, organic, at farm gate {FR} U",Agricultural\Plant production\Intercrops\Transformation,0.217,0.24
