Impact factor,Unit,Carbon footprint (kg CO2e),Eco-costs(euro),Source
"PMMA (Acrilylic Polymethyl Methacrylate), closed loop chemic",kg,0.743,-0.44,#VALUE!
PMMA (Polymethyl methacrylate),kg,3.75,1.24,Plastics Europe LCI database
PMMA (Polymethyl methacrylate) chemical upcycled,kg,4.493,0.8,#VALUE!
PMMA (Polymethyl methacrylate) co-firing in electrical power,kg,0.155,0.01,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"PMMA (Polymethyl methacrylate) waste combustion, clean tech, without heat recove",kg,2.2,0.31,0
PMMA (Polymethyl methacrylate) waste incineration with elect,kg,1.075,0.14,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
Pockwood FSC/PEFC1250 (kg/m3),kg,0.226,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Pockwood natural forest 1250 (kg/m3),kg,3.676,3.45,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"Polychloroprene (Neoprene , CR) rubber",kg,5.255,1.28,energy from CESedupack
"Polychloroprene (Neoprene, CR) co-firing in electrical power",kg,-0.014,0.5,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"Polychloroprene (Neoprene, CR) waste combustion, clean tech, without heat recove",kg,1.99,0.8,0
"Polychloroprene (Neoprene, CR) waste incineration with elect",kg,0.888,0.63,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
Polyester (unsaturated resin),kg,2.162,1.28,"Sandra Roos, Magdalena Szpieg (2012) Life Cycle assessment of Z-Bee ( Swerea IVF AB, Sweden )"
Polyester co-firing in electrical power plant,kg,-0.048,-0.02,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"Polyester waste combustion, clean tech, without heat recovery",kg,2.29,0.33,0
Polyester waste incineration with electricity,kg,1.004,0.14,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
Polyether-polyols,kg,2.875,1.15,Plastics Europe LCI database
Polyether-polyols co-firing in electrical power plant,kg,0.241,0.01,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"Polyether-polyols waste combustion, clean tech, without heat recovery",kg,2.84,0.4,0
Polyether-polyols waste incineration with electricity,kg,1.41,0.19,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"POM (Polyoxymethyleen, polyacetaal)",kg,3.2,0.85,Plastics Europe LCI database
POM (Polyoxymethylene) chemical upcycled,kg,4.277,0.65,#VALUE!
"POM (Polyoxymethylene, polyacetaal) co-firing in electrical",kg,0.175,0.01,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"POM (Polyoxymethylene, Polyacetaal) waste combustion, clean tech, without heat r",kg,1.47,0.21,0
"POM (Polyoxymethylene, Polyacetaal) waste incineration with",kg,0.757,0.1,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"POM, Acetal (Polyoxymethylene), closed loop chemical upcycli",kg,1.077,-0.21,#VALUE!
Poplar FSC/PEFC 440 (kg/m3),kg,0.199,0.04,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Porcelain,kg,0.42,0.08,"Environmental assessment for the production of porcelain in the Netherlands, situation 1988. Transport of raw materials included."
Pork fresh,kg,2.773,1.88,Danish Food LCA data; Dalgaard and Halberg (2004 and Thrane (2004)
"Potatoe starch, DE",kg,0.631,0.12,"data from ProBas, Umwelt Bundesambt"
Potatoes,kg,0.128,0.09,Danish Food LCA data; Dalgaard and Halberg (2004 and Thrane (2004)
"Potatoes, DE",kg,0.041,0.01,"data from ProBas, Umwelt Bundesambt, plus pesticide proxi"
Powder coating aluminium,m2,3.997,0.95,"confidential manufacturing data, titanium white"
Powder coating steel,m2,3.956,1.03,"confidential manufacturing data, titanium white"
Power sawing (petrol),s,0.002,0,"per hour 1.7 kg Petrol, plus emissions, plus lubricants"
PP (Polypropylene),kg,1.63,1.08,Plastics Europe LCI database
PP (Polypropylene) chemical upcycled,kg,1.876,0.34,#VALUE!
PP (Polypropylene) co-firing in electrical power plant,kg,-0.339,-0.07,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"PP (Polypropylene) waste combustion, clean tech, without heat recovery",kg,3.14,0.45,0
PP (Polypropylene) waste incineration with electricity,kg,1.227,0.17,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"PP (Polypropylene), closed loop chemical upcycling credit",kg,0.246,-0.74,#VALUE!
PP GF30,kg,1.513,0.84,30% glass fibre from Idemat
PPS (polyphenylene sulfide),kg,7.166,4.5,midpoints calculated from EI data
PPS co-firing in electrical power plant,kg,0.159,5.92,from literature: HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS
"PPS waste combustion, clean tech, without heat recovery",kg,2.44,6.26,0
PPS waste incineration with electricity,kg,1.185,6.07,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS. Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
Praseodymium,kg,39.041,109.72,"Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- "
pretreatment of cotton,kg,1.725,0.32,"Van der Velden, Patel, Vogtlander,2014. LCA benchmarking study on textiles, made of cotton, polyester, nylon, acryl, or ellastane. Int J of LCA Vol 19 pp 331-356"
"Printing Ink, Black, conventional",kg,1.622,0.61,data in https://www.proquest.com/docview/2311052374?pq-origsite=gscholar&fromopenview=true 
"Printing Ink, Black, UV, inkjet",kg,4.177,1.93,data in https://www.proquest.com/docview/2311052374?pq-origsite=gscholar&fromopenview=true 
"Printing Ink, Magenta, conventional",kg,1.654,0.89,data in https://www.proquest.com/docview/2311052374?pq-origsite=gscholar&fromopenview=true 
"Printing Ink, Magenta, UV, inkjet",kg,4.181,1.97,data in https://www.proquest.com/docview/2311052374?pq-origsite=gscholar&fromopenview=true 
"Printing Ink, Varnish, conventional",kg,2.613,0.97,data in https://www.proquest.com/docview/2311052374?pq-origsite=gscholar&fromopenview=true 
"Printing Ink, White, UV, inkjet",kg,4.089,2.12,data in https://www.proquest.com/docview/2311052374?pq-origsite=gscholar&fromopenview=true 
"Printing of multilayer film, UV, Inkjet",m2,0.022,0.01,"copy D.110.01.109 Idemat2023 Printing per m2 UV, inkjet"
"Printing per m2, 100%, offset, conventional",m2,0.012,0,data from printing company Vrijdag Eindhoven
"Printing per m2, 100%, UV, inkjet",m2,0.022,0.01,data from printing company Vrijdag Eindhoven
"Printing per m2, extra paint varnish layer",m2,0.008,0,data from printing company Vrijdag Eindhoven
"Printing per m2, offset, conventional, electricity only",m2,0.007,0,data from printing company Vrijdag Eindhoven
"Printing per m2, UV, inkjet, electricity only",m2,0.01,0,data from printing company Vrijdag Eindhoven
Propachlor (2-Chloro-N-phenyl-N-(propan-2-yl)acetamide),kg,11.47,1.9,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
Propanal,kg,3.483,0.56,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Propane,kg,0.35,0.11,0
"Propanil (N-(3,4-Dichlorophenyl)propanamide)",kg,9.008,1.44,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
Propanol,kg,4.261,0.72,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Propylene,kg,1.44,0.24,0
Propylene ammooxidation,kg,4.104,0.86,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Propylene hydroformylation,kg,7.107,1.06,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
"PS (EPS, expandable polystyrene, white)",kg,2.28,1.18,Plastics Europe LCI database
"PS (GPPS, general purpose polystyrene)",kg,2.16,1.16,Plastics Europe LCI database
"PS (HIPS, high impact polysyrene)",kg,2.25,1.18,Plastics Europe LCI database
PS (Polystyrene) chemical upcycled,kg,2.481,0.37,#VALUE!
PS (Polystyrene) co-firing in electrical power plant,kg,-0.042,-0.03,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"PS (Polystyrene) waste combustion, clean tech, without heat recovery",kg,3.38,0.48,0
PS (Polystyrene) waste incineration with electricity,kg,1.498,0.2,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"PS (Polystyrene), closed loop chemical upcycle credit",kg,0.321,-0.79,#VALUE!
"PTFE (Teflon), chemical upcycled",kg,10.669,1.68,#VALUE!
"PTFE (Teflon, Polytetrafluoroethylene)",kg,9.415,1.99,#VALUE!
"PTFE (Teflon, Polytetrafluoroethylene) co-firing in electric",kg,0.334,0.04,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"PTFE (Teflon, Polytetrafluoroethylene) waste incineration wi",kg,0.58,0.08,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"PTFE (Teflon, Polytetrafluoroethylene) waste incineration with electricity",kg,0.88,0.12,0
"PTFE, Teflon (Polytetrafluoroethylene), closed loop chemical",kg,1.254,-0.31,#VALUE!
PTT (Polyltrimethylene terephthalate),kg,3.324,0.92,#VALUE!
PTT (Polyltrimethylene terephthalate) co-firing in electrica,kg,-0.18,-0.04,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"PTT (Polyltrimethylene terephthalate) waste combustion, clean tech, without heat",kg,1.71,0.24,0
PTT (Polyltrimethylene terephthalate) waste incineration wit,kg,0.67,0.09,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"PTT (Polyltrimethylene terephthalate), chemical upcycled",kg,4.117,0.62,#VALUE!
"PTT (Polyltrimethylene terephthalate), closed loop chemical",kg,0.793,-0.31,#VALUE!
PU (Polyurethane) co-firing in electrical power plant,kg,0.115,0,#VALUE!
PU (polyurethane) rubber for shoe soles,kg,4.646,1.43,"Idemat2023 Polyether-polyols + Idemat2023 MDI, percentages of the mix are confidential data from a Dutch shoe manufacturer: "
"PU (Polyurethane) waste combustion, clean tech, without heat recovery",kg,2.69,0.38,0
PU (Polyurethane) waste incineration with electricity,kg,1.274,0.17,#VALUE!
"PUR (Polyethane), closed loop chemical upcycling credit",kg,0.484,-0.59,#VALUE!
PUR (Polyurethane) chemical upcycled,kg,3.882,0.67,#VALUE!
PUR (Polyurethane) co-firing in electrical power plant,kg,0.115,-0.01,#VALUE!
"PUR (Polyurethane) waste combustion, clean tech, without heat recovery",kg,2.69,0.38,0
PUR (Polyurethane) waste incineration with electricity,kg,1.274,0.16,#VALUE!
PUR flex. block foam TDI,kg,3.398,1.26,34% Idemat2023 TDI + 68% Idemat2023 Polyether-polyols + 7.5% Idemat2023 Pentane blowing agent
PUR flex. moulded TDI,kg,3.382,1.26,Plastics Europe LCI database
PUR flex. moulded TDI with flame retardant,kg,3.561,1.1,Plastics Europe LCI database
PUR flex. moulded. MDI,kg,3.266,1.27,Plastics Europe LCI database
PUR rigid foam MDI,kg,3.201,1.23,62% Idemat2023 MDI + 39% Idemat2023 Polyether-polyols + 6% Idemat2023 Pentane blowing agent
Purpleheart FSC/PEFC 850 (kg/m3),kg,0.225,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Purpleheart natural forest 850 (kg/m3),kg,3.675,4.84,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
PV cell,m2,412.927,93.77,calculated from PV panel (in Idemat sector Electricity per fuel)
PV panel (irradiation 1100 kWh per m2 ) in MJ,MJ,0.025,0.01,Litt. D. Yang at al. Life-cycle assessment of China's multi-crystalline silicon photovoltaic modules considering international tradeJournal of Cleaner Production 94 (2015) 35-45 (Scenario 2 and 3: data per kWp)
PVB (Polyvinyl butyral),kg,2.334,0.98,equals Idemat2023 PVA
PVC (Polyvinylchloride emulsion polymerised),kg,2.22,0.77,Plastics Europe LCI database
PVC (Polyvinylchloride suspension polymerised),kg,1.99,0.71,Plastics Europe LCI database
PVC (Polyvinylchloride) chemical upcycled,kg,2.387,0.43,#VALUE!
PVC (Polyvinylchloride) co-firing in electrical power plant,kg,-0.138,-0.03,#VALUE!
PVC (Polyvinylchloride) waste incineration with electricity,kg,0.559,0.07,#VALUE!
"PVC (Polyvinylchloride), closed loop chemical upcycling cred",kg,0.351,-0.29,#VALUE!
"PVC (Polyvinylchloride, trade mix)",kg,2.036,0.72,"80% suspension polymerised, 20% emulsion polymerised"
PVDC (Polyvinyliden chloride),kg,4.577,3.63,Plastics Europe LCI database
PVDC (Polyvinyliden chloride) co-firing in electrical power,kg,0.063,0.95,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"PVDC (Polyvinyliden chloride) waste combustion, clean tech, without heat recover",kg,0.91,1.08,0
PVDC (Polyvinyliden chloride) waste incineration with electr,kg,0.444,1.01,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"PVOH (Polyvinyl alcohol) and PVA (Polyvinyl acetate, wood gluel)",kg,3.251,1.33,EPD info http://cpmdatabase.cpm.chalmers.se/Scripts/sheet.asp?AcId=ancpny0011155
PVOH (PVA) co-firing in electrical power plant,kg,0.265,0.02,from literature: HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS
"PVOH (PVA) waste combustion, clean tech, without heat recovery",kg,2,0.28,0
PVOH (PVA) waste incineration with electricity,kg,1.047,0.14,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
PZT Piezo-electric ceramic,kg,222.777,66.51,#VALUE!
Quicklime,kg,2.513,0.48,0
R-1234 yf,kg,0.093,0.3,"data from: A. Baral, R. Minjares and R. A. Urban, ""Upstream climate impacts from production of R-134a and R-1234yf refrigerants used in mobile air conditioning systems"", The International Council on Clean Transportation, 2013."
R-134a,kg,0.034,0.22,"data from: A. Baral, R. Minjares and R. A. Urban, ""Upstream climate impacts from production of R-134a and R-1234yf refrigerants used in mobile air conditioning systems"", The International Council on Clean Transportation, 2013."
R-744 (CO2),kg,0.482,0.08,"copy from A.030.04.102 Idemat Carbon dioxide, liquid "
Radiata Pine FSC/PEFC 450 (kg/m3),kg,0.397,0.1,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Radish fresh from greenhouse,kg,4.513,0.72,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
"Rape cake, Europe",kg,0.197,0.15,#VALUE!
"Rape oil, Europe",kg,0.608,0.47,"Fridrihsone et al. ""Environmental Life Cycle Assessment of Rapeseed and Rapeseed Oil Produced in Northern Europe: A Latvian Case Study"" Sustainability 2020, 12, 5699; doi:10.3390/su12145699 "
Recycled borosilicate glass (Pyrex),kg,1.083,0.19,"no loss of materials and 2.5% less energy per 10% recycled (=25% less energy), see https://www.gpi.org/glass-recycling-facts, plus extra transport"
Recycled silica glass,kg,2.455,0.42,"no loss of materials and 2.5% less energy per 10% recycled (=25% less energy), see https://www.gpi.org/glass-recycling-facts, plus extra transport"
Recycling mixed polymer,kg,0.399,0.07,Recycling of (soft) polymer mixtures with a contamination of 10%.  All processes from collection to granulate included. Data still valid.
Red cabbage fresh,kg,0.14,0.05,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
"Red Cedar, Western 370 (kg/m3)",kg,0.396,0.1,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"Red Clay Brick, for housing and roads, packed",kg,0.278,0.04,"EPD from IBU, Bricks Wienerberger AS, Bratsberg, Norway http://wpp.cobuilder.com/DocumentHandler?suppliername=wienerberger-as&name=bricks&params=0A85935177D4B950510500B3609B0A186E119C689058EDCDBADF62964C9D2903"
Red oak FSC/PEFC 700 (kg/m3),kg,0.275,0.07,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"Revap LNG (liquified natural gas) from US in EU for heat, ex",kg,1.023,0.19,#VALUE!
Rhenium,kg,798.944,"5,908.97","Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- . Table S38. hardly no recycling, no data in RMIS – Raw Materials Information System, assesed 2023-07-13"
"Rhodium, CRM (primary)",kg,30427.831,"298,832.78","ProBas, Umwelt Bundesambt"
"Rhodium, CRM (secondary)",kg,3106.034,573.8,"Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- "
"Rhodium, CRM, trade mix (64% prim 36% sec)",kg,20591.984,"191,459.55",JRC report : Towards recycling indicators based on EU flows and raw materials analysis system data. 2018
"Rhodium, recycling credit closed loop (91% virgin part in t",kg,-24862.835,"-271,415.67",#VALUE!
"Rigid Polymer Foam, co-firing in electrical power plant",kg,-0.494,-0.09,"CO2 emmssions from combustion and credits for the delivered energy, see Idemat2022 PE (Polyethylene) co-firing in electrical power plant"
"Rigid Polymer Foam, waste incineration with electricity",kg,1.141,0.16,"CO2 emmssions from combustion and credits for the delivered energy, see Idemat2023 PE (Polyethylene) waste incineration with electricity"
Roasting chicken (3 MJe per kg product),kg,0.282,0.07,0
Robinia FSC/PEFC 740 (kg/m3),kg,0.237,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Rolling aluminium foil,kg,0.997,0.17,LCA for  rolling of  aluminium foil 7-12um. 
Rolling aluminium sheet,kg,0.829,0.14,LCA for  rolling of sheet aluminium typically for AlMg0.4Si1.2
Rolling brass,kg,0.442,0.08,LCA for the production of brass sheet. Average data for the Netherlands 1990.
Rolling steel,kg,0.887,0.16,electricity 9.6 MJ per kg
Rolls fresh,kg,0.666,0.4,Danish Food LCA data; Dalgaard and Halberg (2004 and Thrane (2004)
Roof tiles,kg,0.361,0.05,"from EPD of IBU: ""Tondachziegel"" CREATON AG, Werk Dorfen/Bayern"
Rosin,kg,6.682,1.2,0
"Rosin (from wood, pine) waste combustion, clean tech, without heat recovery",kg,0,0.01,0
"Rosin (from wood, pine) waste incineration with electricity",kg,-1.124,-0.16,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
S355J2G1W,kg,0.904,0.22,mix of the Idemat data of the basic metals
Samarium,kg,120.114,144.44,"Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- "
SAN (Styrene-acrylonitrile copolymer),kg,2.96,1.25,Plastics Europe LCI database
Sand,kg,0.002,0,"LCA for sand in the Netherlands. Average data. Book: LCA based assessment of sustainability: the eco-costs/value ratio (EVR) 2010 Vogtlander J. published by DAP, Delft. Section 9"
"Sand-lime bricks, light (600 kg/m3)",kg,0.134,0.02,from EPD of IBU: Kalksandsteine Bundesverband Kalksandsteinindustrie e.V. http://bau-umwelt.de/download/CY17753788X13944544aa2XY513c/EPD_BKS_2009111_D.pdf 
Sapelli FSC/PEFC 650 (kg/m3),kg,0.243,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Sapelli natural forest 650 (kg/m3),kg,3.693,8.07,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Sapupira FSC/PEFC 1075 (kg/m3) wet,kg,0.226,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Sapupira natural forest 1075 (kg/m3) wet,kg,2.665,3.78,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Sawing Al. band saw,m,0.406,0.07,specific manufacturer: energy 2.965 MJ per m
Sawing Al. circular saw,m,0.811,0.14,specific manufacturer: energy 5.93 MJ per m
SBR (Styrene butadiene rubber),kg,3.462,1.3,Idemat2023 PB (Polybutadiene) + Idemat2023 Styrene + 25% Idemat2023 Carbon black
SBR (Styrene butadiene rubber) co-firing in electrical power,kg,0.158,0,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"SBR (Styrene butadiene rubber) waste combustion, clean tech, without heat recove",kg,3.45,0.5,0
SBR (Styrene butadiene rubber) waste incineration with elect,kg,1.64,0.22,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
Scandium,kg,8.872,"3,540.13","Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- "
Scots pine FSC/PEFC 520 (kg/m3),kg,0.192,0.04,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Scouring aluminium,kg,0.851,0.15,electricity 6.22 MJ per kilogram removed materia
"Scrap separation Mn, Fe, Cu, Ni and Zn",kg,0.013,0,0
"Scrap, collection&sorting (alum.)",kg,0.046,0.01,0
"Scrap, collection&sorting (copper)",kg,0.046,0.01,0
"Scrap, collection&sorting (iron and glass)",kg,0.03,0.01,0
"Scrap, collection&sorting (other non-ferro metals)",kg,0.091,0.03,0
"Scrap, collection&sorting (Pb)",kg,0.076,0.02,0
"Scrap, collection&sorting (Stainless st)",kg,0.091,0.03,0
Seam welding Al. 0.25,m,2.704,0.47,"Continuous welding process, aluminium sheet  0.25 mm (x2); energy 19.765 MJ per meter joint; no emissions available"
Seam welding Al. 1.5,m,8.651,1.5,"Continuous welding process, aluminium sheet 1.5  mm (x2); energy 63.248 MJ per meter joint; no emissions available."
Seam welding Al. 2.5,m,12.436,2.16,"Continuous welding process, aluminium sheet 2.5  mm (x2); energy 90.92 MJ per meter joint; no emissions available"
"Semichemical fluting, FSC",kg,0.431,0.1,"data from FEFCO 2022 database, data from 2021, https://www.fefco.org/lca Annex 1 assessed july 2022"
"Semichemical fluting, wood waste based",kg,0.431,0.1,"data from FEFCO 2022 database, data from 2021, https://www.fefco.org/lca Annex 1 assessed july 2022"
Shaving hardwood per kg dry mass removed,kg,0.821,0.14,"CES Edupack data ""across the grain"" "
Shaving softwood per kg dry mass removed,kg,0.616,0.11,"CES Edupack data ""across the grain"" "
Shrimps fresh,kg,2.736,0.74,Danisch food study update by Delft University of Technology
Shrimps frozen,kg,9.458,2.46,Danisch food study update by Delft University of Technology
Silica glass,kg,2.743,0.46,no LCA data are available. It makes sense to set the environmental data equal to the data on ceramic glass as a proxi
Silicagel,kg,3.454,0.52,"Roes, Tabak, Shen, Nieuwlaar, Patel. August 2010. Influence of using nanoobjects as filler on functionality-based energy use of nanocomposites.  Journal of Nanoparticle Research 12(6):2011-2028"
Silicon (metallurgical) for steel,kg,5.429,1.97,#VALUE!
"Silicon (purified) for electronics and PV cells, gross",kg,213.888,51.59,#VALUE!
Silicon carbide,kg,17.269,3.66,production energy from CESedupack
Silicon Nitride,kg,3.394,1.21,"heating to 1400 - 1500 degrees, specific heat between 670 and 700 J/kg, use electricity (like sintering). Note that the reaction as such is exotherm"
Silicone rubber (PDMS),kg,7.28,1.84,"Litt. Bernd Brandt, Evelin Kletzer, Harald Pilz, Dariya Hadzhiyska, Peter Seizov. Silicon-Chemistry Carbon Balance An assessment of Greenhouse GasEmissions and Reductions. Section 3, Table 2 and Fig. 2."
Silicone rubber co-firing in electrical power plant,kg,0.248,0.02,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"Silicone rubbers combustion, clean tech, without heat recovery",kg,1.91,0.27,0
Silicone rubbers waste incineration with electricity,kg,0.996,0.13,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
Silver (primary),kg,123.699,713.14,"ProBas, Umwelt Bundesambt"
Silver (secondary),kg,14.374,3.05,"Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- "
Silver fir FSC/PEFC 450 (kg/m3),kg,0.237,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Silver trade mix (81% prim 19% sec),kg,102.927,578.22,JRC report : Towards recycling indicators based on EU flows and raw materials analysis system data. 2018
"Silver, recycling credit closed loop (45% virgin part trade",kg,-49.196,-319.54,#VALUE!
