Impact factor,Unit,Carbon footprint (kg CO2e),Eco-costs(euro),Source
Alder FSC/PEFC 530 (kg/m3),kg,0.275,0.07,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Alkenyl Succinic Anhydride (ASA),kg,9.717,1.67,0
Alkyl Ketene Dimer (AKD),kg,4.722,0.78,0
AlMg1 (5005),kg,7.285,2.21,mix of the Idemat data of the basic metals + extra melting energy
AlMg3 (5754a),kg,7.474,2.19,mix of the Idemat data of the basic metals + extra melting energy
AlMg4.5Mn (5182),kg,7.893,2.27,mix of the Idemat data of the basic metals + extra melting energy
AlMgSi0.5 (6060),kg,8.543,2.47,mix of the Idemat data of the basic metals + extra melting energy
AlMgSi0.7 (6005),kg,7.204,2.21,mix of the Idemat data of the basic metals + extra melting energy
AlMn1 (3003),kg,7.063,2.19,mix of the Idemat data of the basic metals + extra melting energy
AlMn1.2Mg1 (3004),kg,7.233,2.2,mix of the Idemat data of the basic metals + extra melting energy
AlSiMgMn (6009),kg,7.181,2.2,mix of the Idemat data of the basic metals + extra melting energy
Alumina,kg,3.597,1.14,estimate based on Aluminium content
Aluminium (primary),kg,8.679,2.79,LCA update study from Intern. Aluminium Institute. LIFE CYCLE INVENTORY DATA AND ENVIRONMENTAL METRICS FOR THE PRIMARY ALUMINIUM INDUSTRY 2015 DATA
Aluminium (secondary),kg,0.853,0.13,"from: Zare et al. F. 2016 LIFE CYCLE ASSESSMENT OF SECONDARY EXTRUDED ALUMINUM PRODUCTION PROCESS IN INDUSTRIAL CITY OF ARAK
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH 14(2):125-135."
Aluminium Nitride,kg,4.482,1.42,estimate based on Aluminium content
Aluminium trade mix (76% prim 24% sec),kg,6.801,2.15,"recycle rate EoL-RIR from erostat data or report JRC, Towards Recycling Indicators based on EU flows and Raw Materials System Analysis data. 2018"
"Aluminium, recycling credit closed loop (87.5% virgin part t",kg,-6.848,-2.32,#VALUE!
AlZnCuMg (7075),kg,7.268,2.27,mix of the Idemat data of the basic metals + extra melting energy
AM100A,kg,23.308,3.72,mix of the Idemat data of the basic metals + extra melting energy
AM503,kg,24.851,3.85,mix of the Idemat data of the basic metals + extra melting energy
Aminoethylethanol-amine,kg,2.933,0.43,#VALUE!
Ammonia,kg,2.343,0.31,0
anaerobic digestion (fermentation) cow dung,kg,-0.072,-0.01,from 32.64 to 40 litre methane per kg wet; per kg dry it is appox 240 litre methane https://www.researchgate.net/post/How-long-does-the-cow-dung-takes-to-produce-bio-gas
anaerobic digestion (fermentation) food waste,kg,-0.237,-0.03,"Keith James, Linda Ovens, Kimberley Pratt, 2011. The Scottish Carbon Metric, Zero Waste Scotland https://www.zerowastescotland.org.uk/sites/default/files/The%20Scottish%20Carbon%20Metric.pdf"
anaerobic digestion (fermentation) garden waste,kg,-0.204,-0.03,"Keith James, Linda Ovens, Kimberley Pratt, 2011. The Scottish Carbon Metric, Zero Waste Scotland https://www.zerowastescotland.org.uk/sites/default/files/The%20Scottish%20Carbon%20Metric.pdf"
Angelim Vermelho FSC/PEFC 1430 (kg/m3) wet,kg,0.226,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Angelim Vermelho natural forest 1430 (kg/m3) wet,kg,2.639,2.95,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Angelique FSC 735 (kg/m3),kg,0.231,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Angelique natural forest 735 (kg/m3),kg,3.681,5.51,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Aningre FSC/PEFC 580 (kg/m3),kg,0.24,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Aningre natural forest 580 (kg/m3),kg,3.69,4.74,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Anodising,m2,2.158,0.4,LCA for sulpher based anodising. Average data for the Netherlands
"Anthracite coal (33 MJ/kg), including combustion",kg,3.553,1.53,calculated from USLCI
Anthracite coal at mine,kg,0.679,0.27,calculated from USLCI
Antiaris FSC/PEFC 445 (kg/m3),kg,0.257,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Antiaris natural forest 445 (kg/m3),kg,3.707,6.01,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"Antimony, CRM (EoL-RIR = 18%)",kg,11.996,9.99,#VALUE!
Anzala/Mukulungu FSC/PEFC 940 (kg/m3),kg,0.223,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Anzala/Mukulungu natural forest 940 (kg/m3),kg,3.673,3.12,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Apple (Switserland) excl transport,kg,0.14,0.04,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
Aramid st gr,kg,15.654,14.65,Manufacturer data (confidential) of Aramid production in the Netherlands
Argon,kg,2.204,0.33,"energy for production, based on European Industry"
Arsenic (as co-product of Copper),kg,0.474,2.36,0
"ASA (Acrylonitrile styrene acrylate) waste combustion, clean tech, without heat",kg,2.2,0.3,0
ASA (Acrylonitrile styrene acrylate) waste incineration with electricity,kg,1.076,0.14,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
Ash FSC/PEFC 700 (kg/m3),kg,0.275,0.07,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Aspen FSC/PEFC 440 (kg/m3),kg,0.313,0.08,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
ASt35 (1.0346),kg,0.953,0.23,mix of the Idemat data of the basic metals
