Product,Category,Total kg CO2e/kg,Data sources
"Tortilla chips, cheese",Cereals and cereal products,2.27,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020ak); Open Food Facts (2020al); Guzmán-Soria et al. (2019).
Asparagus slices,Vegetables and vegetable products,1.56,Data on inputs and outputs of the food processing industry is modelled using: Carlsson-Kanyama and Faist (2000); Nemlig (2020r); ADEME (2020v); ADEME (2020w).
Corn cob,Vegetables and vegetable products,0.82,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Arugula salad, rinsed",Vegetables and vegetable products,0.52,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Olive tapenade,Vegetables and vegetable products,2.51,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020p); Andersson et al. (1998).
Stuffed fresh pasta,Cereals and cereal products,1.86,Data on inputs and outputs of the food processing industry is modelled using: Bevilacqua et al. (2007); BilkaToGo (2020a).
"Grisekød, pepperoni",Meat and poultry,5.9,Data on inputs and outputs of the food processing industry is modelled using: Shaw (2014); ADEME (2020b).
"Kidney beans, canned",Legumes and legume products,1.1,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020am); ADEME (2020d).
"Chicken, whole",Meat and poultry,3.26,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Pontoppidan and Hansen (2000); Nielsen et al. (2003).
"Grisekød, chorizo, sliced",Meat and poultry,6.17,Data on inputs and outputs of the food processing industry is modelled using: Shaw (2014); ADEME (2020b).
Potato salad,Vegetables and vegetable products,1.26,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020d); Foodiecrush (2020).
Cider 4.5% vol.,"Wine, beer and spirits",1.1,Data on inputs and outputs of the food processing industry is modelled using: Amienyo et al. (2012).
"Falafel, frost",Plant products and drinks,1.88,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020q); ADEME (2020c); ADEME (2020d).
"Potato hotchpotch, beef, ready meals",Ready meals,15.7,Data on inputs and outputs of the food processing industry is modelled using: Madvaerstedet (2020); ADEME (2020d); ADEME (2020c).
"Potato hotchpotch, mixed meat, ready meals",Ready meals,10.89,Data on inputs and outputs of the food processing industry is modelled using: Nemlig (2020l); ADEME (2020d); ADEME (2020c).
