Product,Category,Total kg CO2e/kg,Data sources
"Bell pepper, sweet",Vegetables and vegetable products,0.96,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Tomato,Vegetables and vegetable products,0.46,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Squash,Vegetables and vegetable products,0.73,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Aubergine,Vegetables and vegetable products,0.87,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Tomato, dried",Vegetables and vegetable products,2.33,Data on inputs and outputs of the food processing industry is modelled using: Wikipedia (2020); Bahçıvanoğlu (2020).
Pumpkin,Vegetables and vegetable products,0.73,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Cucumber,Vegetables and vegetable products,0.37,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Gherkin cucumber,Vegetables and vegetable products,0.37,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Pepper, hot chili",Vegetables and vegetable products,0.96,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Beef, topside, cap off",Meat and poultry,55.31,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Bringhurst Meats (2020).
"Beef, fillet, defatted",Meat and poultry,185.76,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Bringhurst Meats (2020).
"Beef, mince, 10-15% fat",Meat and poultry,39.09,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.
"Beef, rump",Meat and poultry,55.31,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Bringhurst Meats (2020).
"Beef, mince, 15-20% fat",Meat and poultry,37.03,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.
"Beef, T-bone steak",Meat and poultry,98.53,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Bringhurst Meats (2020).
"Beef, mince, 5-10% fat",Meat and poultry,41.15,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.
"Beer, lager, alc. 4.4 % by vol., canned","Wine, beer and spirits",0.65,"Data on inputs and outputs of the food processing industry is modelled using: The Climate conservancy (2008), Cordella and Santarelli (2008), Koroneos et al. (2005), Novozymes (2009), Hospido et al. (2005), Amienyo and Azapagic (2016)."
"Beer, household, alc. 1,7 % by vol., canned","Wine, beer and spirits",0.65,"Data on inputs and outputs of the food processing industry is modelled using: The Climate conservancy (2008), Cordella and Santarelli (2008), Koroneos et al. (2005), Novozymes (2009), Hospido et al. (2005), Amienyo and Azapagic (2016)."
"Beer, strong, alc. 7.6 % by vol., canned","Wine, beer and spirits",0.65,"Data on inputs and outputs of the food processing industry is modelled using: The Climate conservancy (2008), Cordella and Santarelli (2008), Koroneos et al. (2005), Novozymes (2009), Hospido et al. (2005), Amienyo and Azapagic (2016)."
"Biscuit, sweet",Bread and bakery products,2.87,Data on inputs and outputs of the food processing industry is modelled using: Noya et al. (2018).
"Biscuit, wholemeal, digestive type",Bread and bakery products,2.81,Data on inputs and outputs of the food processing industry is modelled using: Noya et al. (2018).
"Butter cookie, wheat, Danish, industrially produced",Bread and bakery products,3.17,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020t); Tasty (2020a); Noya et al. (2018).
American inspired cookie,Bread and bakery products,2.81,Data on inputs and outputs of the food processing industry is modelled using: Noya et al. (2018).
Granola bar,Cereals and cereal products,4.08,Data on inputs and outputs of the food processing industry is modelled using: Noya et al. (2018); Inspired taste (2019).
Wafer sticks,Bread and bakery products,2.53,Data on inputs and outputs of the food processing industry is modelled using: Nemlig (2020e); ADEME (2020h); Konstantas et al. (2019); DTU (2019).
Bread-crumbs,Bread and bakery products,1.5,"Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020a); Open Food Facts (2020b); Jensen JK, Arlbjørn JS (2014)."
"Crispbread, knackebrot, rye, coarse",Bread and bakery products,1.3,"Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020a); Open Food Facts (2020b); Jensen JK, Arlbjørn JS (2014)."
"Wheat bread, for toasting, industrially produced",Bread and bakery products,0.94,Data on inputs and outputs of the food processing industry is modelled using: Espinoza-Orias et al. (2011).
"Bread, white, for sausages",Bread and bakery products,0.94,Data on inputs and outputs of the food processing industry is modelled using: Espinoza-Orias et al. (2011).
"Bread, white, roll, coarse grain",Bread and bakery products,0.94,Data on inputs and outputs of the food processing industry is modelled using: Espinoza-Orias et al. (2011).
"Rye bread, dark, whole grains, industrially produced",Bread and bakery products,0.81,Data on inputs and outputs of the food processing industry is modelled using: Jensen and Arlbjørn (2014).
Rye bread crumbs with brown sugar,Bread and bakery products,1.87,"Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020a); Open Food Facts (2020b); Jensen JK, Arlbjørn JS (2014); DTU (2019)."
"Corn flakes, average values",Cereals and cereal products,2,Data on inputs and outputs of the food processing industry is modelled using: Noya et al. (2018).
"Breakfast cereal, müsli, average values",Cereals and cereal products,1.97,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020s).
"Breakfast cereal, sugar pops",Cereals and cereal products,2.41,Data on inputs and outputs of the food processing industry is modelled using: Noya et al. (2018); Guldkorn (2020); DTU (2019).
"Breakfast cereal, oat puffs",Cereals and cereal products,1.88,Data on inputs and outputs of the food processing industry is modelled using: Noya et al. (2018); Nordic Expat Shop (2020).
"Butter, salt added","Milk, dairy products and eggs",3.86,Data on inputs and outputs of the food processing industry is modelled using: Nemlig (2020p).
"Blended spread, 75% fat","Milk, dairy products and eggs",3.73,Data on inputs and outputs of the food processing industry is modelled using: Nilsson et al. (2010).
"Plain cake, chocolate cake",Bread and bakery products,2.29,Data on inputs and outputs of the food processing industry is modelled using: Konstantas et al. (2019).
"Danish pastry, kanelsnegl",Bread and bakery products,1.88,Data on inputs and outputs of the food processing industry is modelled using: BBC (2020a); Konstantas et al. (2019).
"Plain cake, average values",Bread and bakery products,2.29,Data on inputs and outputs of the food processing industry is modelled using: Konstantas et al. (2019).
"Cream pastry, layer cake",Bread and bakery products,2.29,Data on inputs and outputs of the food processing industry is modelled using: Konstantas et al. (2019).
"Cookie, truffle product / unbaked, industrially produced",Bread and bakery products,3.25,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020r); ARLA (2020b).
"Pork, bacon, frying",Meat and poultry,6.43,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Riverdog Farm (2020).
"Pork, sausage, salami",Meat and poultry,5.9,Data on inputs and outputs of the food processing industry is modelled using: Shaw (2014); ADEME (2020b).
"Pork, ham, boiled, sliced",Meat and poultry,4.28,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020d); Davis and Sonesson (2008).
"Beef, roastbeef, cooked, sliced",Meat and poultry,55.4,Data on inputs and outputs of the food processing industry is modelled using: Schmidt-Rivera and Azapagic (2019).
"Pork, sausage, Danish",Meat and poultry,2.73,Data on inputs and outputs of the food processing industry is modelled using: Nemlig (2020b) Medister. https://www.nemlig.com/medister-5024553.
"Pork, liver paste, Danish",Meat and poultry,3.97,"Data on inputs and outputs of the food processing industry is modelled using: Davies (2015); DEFRA (2009)
."
"Pork, flank, spiced, cooked",Meat and poultry,4.28,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020d); Davis and Sonesson (2008).
"Pork sausage, bratwurst",Meat and poultry,2.13,Data on inputs and outputs of the food processing industry is modelled using: Davis and Sonesson (2008).
"Chicken, breast, boiled, sliced",Meat and poultry,4.76,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020d); Davis and Sonesson (2008).
"Chicken, leg, flesh and skin",Meat and poultry,1.97,"Data on inputs and outputs of the food processing industry is modelled using: Pontoppidan and Hansen; Nielsen et al. (2003); Blonk (2015); Schmidt (2010) 
."
"Chicken, drumstick, flesh and skin",Meat and poultry,1.87,"Data on inputs and outputs of the food processing industry is modelled using: Pontoppidan and Hansen; Nielsen et al. (2003); Blonk (2015); Schmidt (2010) 
."
"Chicken, breast, flesh and skin",Meat and poultry,5.18,"Data on inputs and outputs of the food processing industry is modelled using: Pontoppidan and Hansen; Nielsen et al. (2003); Blonk (2015); Schmidt (2010) 
."
"Chicken, sausage",Meat and poultry,1.89,Data on inputs and outputs of the food processing industry is modelled using: Davis and Sonesson (2008).
"Chicken, hen, flesh and skin",Meat and poultry,3.26,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Pontoppidan and Hansen (2000); Nielsen et al. (2003).
"Tea, leaves",Beverages,13.81,Data on inputs and outputs of the food processing industry is modelled using: Jefferies et al. (2012); Soheili-Fard et al. (2018).
"Coffee, instant, powder",Beverages,14.59,Data on inputs and outputs of the food processing industry is modelled using: Humbert et al. (2009).
"Coffee, beans, roasted, ground",Beverages,5.41,Data on inputs and outputs of the food processing industry is modelled using: Humbert et al. (2009).
"Cocoa, instant, without milk, powder",Beverages,12.44,Data on inputs and outputs of the food processing industry is modelled using: Recanati et al. (2018).
"Cocoa, powder",Beverages,12.44,Data on inputs and outputs of the food processing industry is modelled using: Recanati et al. (2018).
"Lamb, flank, spiced, cooked",Meat and poultry,28.53,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020d); Davis and Sonesson (2008).
"Beef, sausage, salami",Meat and poultry,40.54,Data on inputs and outputs of the food processing industry is modelled using: Shaw (2014); ADEME (2020b).
"Pork, saddle, smoked, boiled",Meat and poultry,4.28,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020d); Davis and Sonesson (2008).
"Salad dressing, oil and vinegar",Seasonings and spices,3.83,"Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020i); Hetherington et al. (2012)
."
"Salad dressing, thousand island",Seasonings and spices,3.51,Data on inputs and outputs of the food processing industry is modelled using: Hetherington et al. (2012); Simply recipes (2020a).
"Water, tap, drinking",Beverages,0,Data are obtained from the EXIOBASE database.
"Duck, meat",Meat and poultry,3.26,"Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product, see comments field."
"Goose, meat",Meat and poultry,3.26,"Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product, see comments field."
Mackerel mayonnaise salad,Seasonings and spices,2.71,Data on inputs and outputs of the food processing industry is modelled using: Hetherington (2012); Nemlig (2020f).
Mustard dill sauce,Seasonings and spices,1.94,Data on inputs and outputs of the food processing industry is modelled using: BBC (2020b); Hetherington et al. (2012).
Italian mayonnaise salad,Seasonings and spices,3.48,Data on inputs and outputs of the food processing industry is modelled using: Hetherington et al. (2012).
Curry mayonnaise salad,Seasonings and spices,3.48,Data on inputs and outputs of the food processing industry is modelled using: Hetherington et al. (2012).
"Yogurt plain, whole milk","Milk, dairy products and eggs",0.89,Data on inputs and outputs of the food processing industry is modelled using: Djekic et al. (2014).
"Cream, cultured, 18 % fat","Milk, dairy products and eggs",1.85,Data on inputs and outputs of the food processing industry is modelled using: Djekic et al. (2014).
"Skyr, 0.2 % fat","Milk, dairy products and eggs",1.32,Data on inputs and outputs of the food processing industry is modelled using: Djekic et al. (2014).
"Cheese, firm, Danbo, 45 % fidm.","Milk, dairy products and eggs",6.63,Data on inputs and outputs of the food processing industry is modelled using: González-Garcíaet al. (2013a).
"Cheese, hard, Parmesan, 32 % fidm.","Milk, dairy products and eggs",6.63,Data on inputs and outputs of the food processing industry is modelled using: González-Garcíaet al. (2013a).
"Cheese, semihard, Mozzarella, 30 % fidm.","Milk, dairy products and eggs",6.63,Data on inputs and outputs of the food processing industry is modelled using: González-Garcíaet al. (2013a).
"Herring, pickled, canned",Seafood,6.04,Data on inputs and outputs of the food processing industry is modelled using: Shaw H (2011). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. 
"Fish balls, canned",Seafood,2.65,Data on inputs and outputs of the food processing industry is modelled using: Arctic Grub (2013); Letkoeb (2020); Schmidt and Azapagic (2019). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased.
Fish pudding,Seafood,3.51,Data on inputs and outputs of the food processing industry is modelled using: Arctic Grub (2013); Letkoeb (2020); ADEME (2020j). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased.
"Cod, liver, canned",Seafood,10.39,"Data on inputs and outputs of the food processing industry is modelled using: Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Therefore, an increasing demand affects the marginal saltwater fish source, the aquaculture of salmon. Salmon feed data are obtained from FAO (2020b). Electricity data for aquaculture are obtained from Pelletier (2009) and SINTEF (2017)."
"Cod, roe, canned",Seafood,5.03,"Data on inputs and outputs of the food processing industry is modelled using: Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Therefore, an increasing demand affects the marginal saltwater fish source, the aquaculture of salmon. Salmon feed data are obtained from FAO (2020b). Electricity data for aquaculture are obtained from Pelletier (2009) and SINTEF (2017)."
"Shrimps, canned",Seafood,10.11,"Data on inputs and outputs of the food processing industry is modelled using: The Feed Conversion Rate for giant tiger prawn is used as a proxy, drawn from Fry JP et al. (2018)."
"Cod, fillet, breaded",Seafood,2.8,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020k). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased.
"Caviar, lumpfish roe",Seafood,4.95,"Data on inputs and outputs of the food processing industry is modelled using: Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Therefore, an increasing demand affects the marginal saltwater fish source, the aquaculture of salmon. Salmon feed data are obtained from FAO (2020b). Electricity data are obtained from Pelletier (2009) and SINTEF (2017)."
"Fish cake, fried",Seafood,4.29,Data on inputs and outputs of the food processing industry is modelled using: Arctic Grub (2013); Letkoeb (2020); ADEME (2020j). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased.
"Cod, liver, smoked",Seafood,4.57,"Data on inputs and outputs of the food processing industry is modelled using: Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Therefore, an increasing demand affects the marginal saltwater fish source, the aquaculture of salmon. Salmon feed data are obtained from FAO (2020b). Electricity data are obtained from Pelletier (2009) and SINTEF (2017)."
"Cod, liver",Seafood,3.59,"Data on inputs and outputs of the food processing industry is modelled using: Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Therefore, an increasing demand affects the marginal saltwater fish source, the aquaculture of salmon. Salmon feed data are obtained from FAO (2020b). Electricity data for aquaculture are obtained from Pelletier (2009) and SINTEF (2017)."
"Lobster, canned",Seafood,6.87,"Data on inputs and outputs of the food processing industry is modelled using: Data for this species is based on data for shrimps aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Therefore, an increasing demand affects the marginal shellfish source, the aquaculture of shrimps."
"Mussels, in water, canned",Seafood,1.69,Data on inputs and outputs of the food processing industry is modelled using: Diesel used are obtained from Tamburini (2020).
"Tuna, in tomato sauce, canned",Seafood,4.92,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020n); Open Food Facts (2020o); Hospido et al. (2006). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. 
"Cod, roe",Seafood,4.94,"Data on inputs and outputs of the food processing industry is modelled using: Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Therefore, an increasing demand affects the marginal saltwater fish source, the aquaculture of salmon. Salmon feed data are obtained from FAO (2020b). Electricity data for aquaculture are obtained from Pelletier (2009) and SINTEF (2017)."
"Crab claws, meat",Seafood,10.92,"Data on inputs and outputs of the food processing industry is modelled using: Feed data from Unnikrishnan & Paulraj (2010). The Feed Conversion Rate of giant tiger prawn is used as a proxy, drawn from Fry JP et al. (2018). Electricity data for aquaculture are obtained from Mungkung R (2005)."
"Caviar, capelin roe",Seafood,4.94,"Data on inputs and outputs of the food processing industry is modelled using: Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Therefore, an increasing demand affects the marginal saltwater fish source, the aquaculture of salmon. Salmon feed data are obtained from FAO (2020b). Electricity data are obtained with own elaboration from Kim and Zhang (2018) to represent the electricity use in intensive aquaculture in cold climate."
"Tuna, in water, canned",Seafood,4.5,Data on inputs and outputs of the food processing industry is modelled using: Hospido et al. (2006). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. 
"Halibut, greenland, smoked",Seafood,3.81,"Data on inputs and outputs of the food processing industry is modelled using: Data for this species is based on data for tilapia aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Therefore, an increasing demand affects the marginal freshwater fish source, the aquaculture of tilapia. Tilapia feed data are obtained from FAO (2020e). Data on electricity for aquaculture are obtained from Pelletier and Tyedmers (2010)."
"Fish fillet, breaded, deepfried",Seafood,3.19,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020k); ADEME (2020j). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased.
"Fish fingers, breaded, frozen",Seafood,2.77,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020k); ADEME (2020l). Data for this species is based on data for salmon aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. 
"Rye flour, dark, whole meal",Cereals and cereal products,1.01,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Nielsen et al. (2003).
"Wheat, flour, wholemeal",Cereals and cereal products,1.06,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Nielsen et al. (2003).
"Rye kernels, whole/cracked",Cereals and cereal products,1.01,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Nielsen et al. (2003).
"Wheat, kernels, whole/cracked",Cereals and cereal products,1.06,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Nielsen et al. (2003).
Rice flour,Cereals and cereal products,4.74,Data on inputs and outputs of the food processing industry is modelled using: Blengini and Busto (2009); Nielsen et al. (2003).
Corn flour,Cereals and cereal products,1.19,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Nielsen et al. (2003).
"Eggs, free-range (indoor)","Milk, dairy products and eggs",0.98,The inputs to the Danish market and inputs and outputs to the animal activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Burbot,Seafood,7.1,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data on electricity for aquaculture are obtained from Pelletier and Tyedmers (2010). Data for this species is based on data for tilapia aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased.
Perch,Seafood,4.34,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data on electricity for aquaculture are obtained from Pelletier and Tyedmers (2010).
Pikeperch,Seafood,3.84,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data on electricity for aquaculture are obtained from Pelletier and Tyedmers (2010).
Pike,Seafood,3.84,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data on electricity for aquaculture are obtained from Pelletier and Tyedmers (2010).
Bream,Seafood,7.48,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data on electricity for aquaculture are obtained from Pelletier and Tyedmers (2010).
Charr,Seafood,6.9,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data on electricity for aquaculture are obtained from Pelletier and Tyedmers (2010).
Trout,Seafood,2.11,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data on electricity for aquaculture are obtained from Pelletier and Tyedmers (2010).
Whitefish,Seafood,7.1,Data on inputs and outputs of the food processing industry is modelled using: Data source on edible portion: FAO (1989). The Feed Conversion Rate is drawn from Fry JP et al. (2018). Data for this species is based on data for tilapia aquaculture because it is currently fished to its carrying capacity and wild catch cannot be increased. Data on electricity for aquaculture are obtained from Pelletier and Tyedmers (2010).
"Fruit juice, mixed, sweetened, concentrated, plastic bottle",Beverages,2.34,Data on inputs and outputs of the food processing industry is modelled using: Jungbluth (2013); DTU (2019).
"Elderberry juice, concentrated, plastic bottle",Beverages,3.44,Data on inputs and outputs of the food processing industry is modelled using: Jungbluth (2013); Aqua-Calc (2020b); DTU (2019).
"Olives, green, pickled, canned",Vegetables and vegetable products,1.84,Data on inputs and outputs of the food processing industry is modelled using: Italian Kiwi (2018); Carlsson-Kanyama and Faist (2000).
"Pear, canned",Fruits and fruit products,0.9,Data on inputs and outputs of the food processing industry is modelled using: Carlsson-Kanyama and Faist (2000).
"Nut paste with cacao, spreads",Plant products and drinks,4.83,Data on inputs and outputs of the food processing industry is modelled using: Ferrero (2020a); Miah et al. (2018).
"Orange juice, plastic bottle",Beverages,1.41,Data on inputs and outputs of the food processing industry is modelled using: Jungbluth (2013); Steiner and Frischknecht (2007).
"Pineapple, canned",Fruits and fruit products,1.1,Data on inputs and outputs of the food processing industry is modelled using: Carlsson-Kanyama and Faist (2000).
Strawberry jam,Fruits and fruit products,2.02,"Data on inputs and outputs of the food processing industry is modelled using: Ankara University (2018); Carlsson-Kanyama A, Faist M (2000)."
"Raisins, seedless",Fruits and fruit products,3.16,Data on inputs and outputs of the food processing industry is modelled using: Vukoje et al. (2018).
Raspberry marmalade,Fruits and fruit products,2.02,"Data on inputs and outputs of the food processing industry is modelled using: Ankara University (2018); Carlsson-Kanyama A, Faist M (2000)."
"Hare, meat",Meat and poultry,3.26,"Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product, see comments field."
"Rabbit, meat",Meat and poultry,3.26,"Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product, see comments field."
"Pheasant, flesh and skin",Meat and poultry,3.26,"Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product, see comments field."
Squab (pigeon),Meat and poultry,3.26,"Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product, see comments field."
Barley groats,Cereals and cereal products,1.35,Data on inputs and outputs of the food processing industry is modelled using: Nielsen et al. (2003).
"Oats, rolled, not enriched",Cereals and cereal products,1.48,Data on inputs and outputs of the food processing industry is modelled using: Nielsen et al. (2003).
Rice groats,Cereals and cereal products,4.72,"Data on inputs and outputs of the food processing industry is modelled using: Blengini A, Busto M (2009) The life cycle of rice: LCA of alternative agri-food chain management systems in Vercelli (Italy). J Environ Manage 90(3):1512–1522."
Parsley,Vegetables and vegetable products,0.4,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Dill,Vegetables and vegetable products,0.4,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Garlic,Vegetables and vegetable products,1.13,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Chives,Vegetables and vegetable products,0.37,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Cress, garden",Vegetables and vegetable products,0.4,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Olives, black, without stones, in brine",Vegetables and vegetable products,1.84,Data on inputs and outputs of the food processing industry is modelled using: Italian Kiwi (2018); Carlsson-Kanyama and Faist (2000).
"Hazelnut, dried",Nuts and seeds,6.04,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020m); Jekayinfa and Bamgboye (2006).
"Sunflower seeds, decorticated, dried",Nuts and seeds,2.61,Data on inputs and outputs of the food processing industry is modelled using: Jekayinfa and Bamgboye (2006); Gamea (2013).
"Sesame seeds, decorticated",Nuts and seeds,5.14,Data on inputs and outputs of the food processing industry is modelled using: Byzencyclopedia (2020); Jekayinfa and Bamgboye (2006).
"Walnuts, dried",Nuts and seeds,4.83,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020n); Jekayinfa and Bamgboye (2006).
"Cashew nuts, dry roasted",Nuts and seeds,9.94,Data on inputs and outputs of the food processing industry is modelled using: Jekayinfa and Bamgboye (2006); Dendena and Corsi (2014).
"Pumpkin seeds, dried",Nuts and seeds,4.83,"Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product, see comments field."
Honey,Seasonings and spices,0.79,Data on inputs and outputs of the food processing industry is modelled using: Moreira  et al. (2019).
"Ice cream, dairy, (wholemilk based)","Milk, dairy products and eggs",2.91,Data on inputs and outputs of the food processing industry is modelled using: Konstantas et al. (2018b).
"Ice cream, dairy (cream based)","Milk, dairy products and eggs",2.91,Data on inputs and outputs of the food processing industry is modelled using: Konstantas et al. (2018b).
"Ice, popsickle, lemonade",Fruits and fruit products,1.2,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020u); Konstantas et al. (2018).
Vinegar,Seasonings and spices,1.46,"Data on inputs and outputs of the food processing industry is modelled using: Aranda et al. (2005); Gazulla et al. (2010); Vázquez-Rowe et al. (2012, 2013); Point et al. (2012); Ardente et al. (2006); Benedetto (2013); Carta (2009); Bosco et al. (2011); Barry (2011); Neto et al. (2013)."
"Salt, table",Seasonings and spices,0.44,Data are obtained from the EXIOBASE database.
Rhubarb,Vegetables and vegetable products,0.33,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Celery,Vegetables and vegetable products,0.33,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Cauliflower,Vegetables and vegetable products,0.56,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Broccoli,Vegetables and vegetable products,0.56,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Kale,Vegetables and vegetable products,0.26,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Cabbage, white",Vegetables and vegetable products,0.26,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Brussels sprouts,Vegetables and vegetable products,0.26,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Cabbage, red",Vegetables and vegetable products,0.26,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Cabbage, spring",Vegetables and vegetable products,0.26,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
