heading,short number, Simapro group,Unit,Process,Total eco-cost (euro),kgCO2e,,,
chemicals,A.030.10.131,"Materials, chemicals, inorganic ",kg ,Urea (AdBlue),1.017902893,5.975542256,,,
chemicals,A.030.10.132,"Materials, chemicals, inorganic ",kg ,"V2O5, Vanadium pentoxide",19.81673462,10.88388947,,,
chemicals,A.030.10.133,"Materials, chemicals, inorganic ",kg ,Zinc Oxide,2.025752387,3.650575714,,,
chemicals,A.030.10.134,"Materials, chemicals, inorganic ",kg ,"LiFePO4 (lithium iron phosphate, LFP)",3.335407605,9.924224812,,,
chemicals,A.030.10.135,"Materials, chemicals, inorganic ",kg ,Chromium oxide,3.161572235,6.140958947,,,
chemicals,A.030.10.136,"Materials, chemicals, inorganic ",kg ,Magnesium oxide,0.558739139,2.02038406,,,
chemicals,A.030.10.137,"Materials, chemicals, inorganic ",kg ,Ferric Chloride,0.099461153,0.52953285,,,
chemicals,A.030.10.138,"Materials, chemicals, inorganic ",,Talc (Talcum) in Rotterdam,0.035039492,,,,
chemicals,A.030.14.101,"Materials, chemicals, organic               ",kg ,Acetone,0.293235474,1.84962406,,,
chemicals,A.030.14.102,"Materials, chemicals, organic               ",kg ,Acetylene (Ethyne),0.293235474,1.84962406,,,
chemicals,A.030.14.103,"Materials, chemicals, organic               ",kg ,Acrylonitrile,0.694884198,3.729439323,,,
chemicals,A.030.14.104,"Materials, chemicals, organic               ",kg ,Alkenyl Succinic Anhydride (ASA),1.859766938,10.95942256,,,
chemicals,A.030.14.105,"Materials, chemicals, organic               ",kg ,Alkyl Ketene Dimer (AKD),0.873473444,5.325029173,,,
chemicals,A.030.14.106,"Materials, chemicals, organic               ",kg ,Benzene,0.354494066,2.097744361,,,
chemicals,A.030.14.107,"Materials, chemicals, organic               ",kg ,Butadiene,0.352702357,2.233082707,,,
chemicals,A.030.14.108,"Materials, chemicals, organic               ",kg ,Butane,0.119655986,0.394845444,,,
chemicals,A.030.14.109,"Materials, chemicals, organic               ",kg ,Cumene hydroperoxide,0.321140972,1.920451128,,,
chemicals,A.030.14.110,"Materials, chemicals, organic               ",kg ,Diethylene glycol (DEG),0.329137471,2.097744361,,,
chemicals,A.030.14.111,"Materials, chemicals, organic               ",kg ,Dipropylene glycol monomethyl ether,1.521645171,4.586200827,,,
chemicals,A.030.14.112,"Materials, chemicals, organic               ",kg ,"Ethanol (alcohol), bio-based from agricultural waste",0.245266534,1.609698722,,,
chemicals,A.030.14.113,"Materials, chemicals, organic               ",kg ,"Ethanol (alcohol), synthetic",0.192561128,1.220157744,,,
chemicals,A.030.14.114,"Materials, chemicals, organic               ",kg ,Ethylbenzene,0.38571112,2.515037594,,,
chemicals,A.030.14.115,"Materials, chemicals, organic               ",kg ,Ethylene,0.285166328,1.781954887,,,
chemicals,A.030.14.116,"Materials, chemicals, organic               ",kg ,Ethylene dichloride,0.243587409,1.324497519,,,
chemicals,A.030.14.117,"Materials, chemicals, organic               ",kg ,Ethylene oxide (1),0.352188853,2.255639098,,,
chemicals,A.030.14.118,"Materials, chemicals, organic               ",kg ,Methanol,0.194056962,1.068504737,,,
chemicals,A.030.14.119,"Materials, chemicals, organic               ",kg ,Methylamine,0.750770144,4.119149925,,,
chemicals,A.030.14.120,"Materials, chemicals, organic               ",kg ,Monoethylene glycol (MEG),0.279353189,1.781954887,,,
chemicals,A.030.14.121,"Materials, chemicals, organic               ",kg ,Pentane blowing agent,0.237972982,1.275889624,,,
chemicals,A.030.14.122,"Materials, chemicals, organic               ",kg ,Propane,0.119655986,0.394845444,,,
chemicals,A.030.14.123,"Materials, chemicals, organic               ",kg ,Propylene,0.264166328,1.62406015,,,
chemicals,A.030.14.124,"Materials, chemicals, organic               ",kg ,Phenol,0.320555242,2.018796992,,,
chemicals,A.030.14.125,"Materials, chemicals, organic               ",kg ,Rosin,1.336850055,7.535840602,,,
chemicals,A.030.14.126,"Materials, chemicals, organic               ",kg ,Styrene,0.36471112,2.357142857,,,
chemicals,A.030.14.127,"Materials, chemicals, organic               ",kg ,Toluene,0.239825398,1.37593985,,,
chemicals,A.030.14.128,"Materials, chemicals, organic               ",kg ,Triethylene glycol (TEG),0.348622111,2.221804511,,,
chemicals,A.030.14.129,"Materials, chemicals, organic               ",kg ,Xylene,0.281635968,1.612781955,,,
chemicals,A.030.14.130,"Materials, chemicals, organic               ",kg ,Acrylonitrile from propylene ammoxidation,0.859776837,4.234777594,,,
chemicals,A.030.14.131,"Materials, chemicals, organic               ",kg ,Acetonitrile from propylene ammoxidation,0.856742344,4.219831353,,,
chemicals,A.030.14.132,"Materials, chemicals, organic               ",kg ,Hydrogen cyanide from propylene ammoxidation,0.861348482,4.242518647,,,
chemicals,A.030.14.133,"Materials, chemicals, organic               ",kg ,"Grease, Lithium-based",1.888046365,2.157800752,,,
chemicals,A.030.14.134,"Materials, chemicals, organic               ",kg ,"Grease, polymer (Polyalphaolefin + polypropylene)",2.793130062,6.259398496,,,
chemicals,A.030.14.135,"Materials, chemicals, organic               ",kg ,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",2.063704727,6.048252481,,,
chemicals,A.030.14.136,"Materials, chemicals, organic               ",kg ,Carnauba Wax from Brazil in Rotterdam (De Monchy),0.076483216,0.298052902,,,
chemicals,A.030.18.101,"Materials, chemicals, organic, solvents",kg ,1-Butanol,0.519964378,3.281106165,,,
chemicals,A.030.18.102,"Materials, chemicals, organic, solvents",kg ,1-Pentanol,0.564972213,3.622094737,,,
chemicals,A.030.18.103,"Materials, chemicals, organic, solvents",kg ,"1,4-Dioxane",0.723923552,4.661274361,,,
chemicals,A.030.18.104,"Materials, chemicals, organic, solvents",kg ,2-Butanol,0.611203198,3.870758722,,,
chemicals,A.030.18.105,"Materials, chemicals, organic, solvents",kg ,2-Methyl-1-butanol,0.563653096,3.613637744,,,
chemicals,A.030.18.106,"Materials, chemicals, organic, solvents",kg ,2-Methyl-1-propanol,0.525069079,3.31331812,,,
chemicals,A.030.18.107,"Materials, chemicals, organic, solvents",kg ,2-Methyl-2-butanol,0.699679264,3.613127669,,,
chemicals,A.030.18.108,"Materials, chemicals, organic, solvents",kg ,2-Methylpentane,0.29655965,1.552003609,,,
chemicals,A.030.18.109,"Materials, chemicals, organic, solvents",kg ,3-Methyl-1-butanol,0.565081985,3.622798496,,,
chemicals,A.030.18.110,"Materials, chemicals, organic, solvents",kg ,3-Methyl-1-butyl acetate,0.972386823,5.653709699,,,
chemicals,A.030.18.111,"Materials, chemicals, organic, solvents",kg ,4-Methyl-2-pentanone,0.747888912,3.992236241,,,
chemicals,A.030.18.112,"Materials, chemicals, organic, solvents",kg ,Acetic acid,0.21559802,1.145843083,,,
chemicals,A.030.18.113,"Materials, chemicals, organic, solvents",kg ,Acetic anhydride,0.450649403,2.835645414,,,
chemicals,A.030.18.114,"Materials, chemicals, organic, solvents",kg ,Acetone (2),0.215412001,1.144854436,,,
chemicals,A.030.18.115,"Materials, chemicals, organic, solvents",kg ,Benzal chloride,0.871135844,2.409421729,,,
chemicals,A.030.18.116,"Materials, chemicals, organic, solvents",kg ,Benzaldehyde,2.06070935,4.395523759,,,
chemicals,A.030.18.117,"Materials, chemicals, organic, solvents",kg ,Benzene chlorination (per kg benzene),0.416199762,2.217743158,,,
chemicals,A.030.18.118,"Materials, chemicals, organic, solvents",kg ,Benzyl alcohol,1.499165869,4.49394985,,,
chemicals,A.030.18.119,"Materials, chemicals, organic, solvents",kg ,Benzyl chloride,0.691327533,2.321762632,,,
chemicals,A.030.18.120,"Materials, chemicals, organic, solvents",kg ,"Butane-1,4-diol",0.722981858,4.530016165,,,
chemicals,A.030.18.121,"Materials, chemicals, organic, solvents",kg ,"Butane-1,4-diol dehydrogenation",0.798497489,4.996878947,,,
chemicals,A.030.18.122,"Materials, chemicals, organic, solvents",kg ,Butane oxidation,0.345998556,1.838885414,,,
chemicals,A.030.18.123,"Materials, chemicals, organic, solvents",kg ,"Butanes from butene,",0.611158985,3.870478722,,,
chemicals,A.030.18.124,"Materials, chemicals, organic, solvents",kg ,Butene hydration,0.690953682,4.375819699,,,
chemicals,A.030.18.125,"Materials, chemicals, organic, solvents",kg ,Butene hydroformylation,1.138523174,7.299188722,,,
chemicals,A.030.18.126,"Materials, chemicals, organic, solvents",kg ,Butyl acetate,0.656858524,4.188363609,,,
chemicals,A.030.18.127,"Materials, chemicals, organic, solvents",kg ,Butyrolactone,0.840321868,5.258609699,,,
chemicals,A.030.18.128,"Materials, chemicals, organic, solvents",kg ,Cyclohexane,0.567631645,3.505415489,,,
chemicals,A.030.18.129,"Materials, chemicals, organic, solvents",kg ,Cyclohexanone,0.922564622,5.27946015,,,
chemicals,A.030.18.130,"Materials, chemicals, organic, solvents",kg ,Ethanol from ethylene,0.23878202,1.466172481,,,
chemicals,A.030.18.131,"Materials, chemicals, organic, solvents",kg ,Diethyl ether,0.235523212,1.446162707,,,
chemicals,A.030.18.132,"Materials, chemicals, organic, solvents",kg ,Dimethyl sulfoxide,0.322204939,1.891566466,,,
chemicals,A.030.18.133,"Materials, chemicals, organic, solvents",kg ,Dimethylamine,0.414964404,1.512840301,,,
chemicals,A.030.18.134,"Materials, chemicals, organic, solvents",kg ,Ethyl acetate from ethanol and acetic acid,0.533368978,3.288145113,,,
chemicals,A.030.18.135,"Materials, chemicals, organic, solvents",kg ,"Ethyl acetate, from Butane oxidation",0.215583715,1.145767068,,,
chemicals,A.030.18.136,"Materials, chemicals, organic, solvents",kg ,"Ethyl acetate, from Ethyl Alcohol",0.5370679,3.377131353,,,
chemicals,A.030.18.137,"Materials, chemicals, organic, solvents",kg ,Ethylene glycol diethyl ether,0.743824117,2.808252256,,,
chemicals,A.030.18.138,"Materials, chemicals, organic, solvents",kg ,Ethylene glycol dimethyl ether,0.357978575,2.213634662,,,
chemicals,A.030.18.139,"Materials, chemicals, organic, solvents",kg ,Ethylene glycol monoethyl ether,0.290789457,1.800495639,,,
chemicals,A.030.18.140,"Materials, chemicals, organic, solvents",kg ,Ethylene hydration,0.382725214,2.350014361,,,
chemicals,A.030.18.141,"Materials, chemicals, organic, solvents",kg ,Formic acid by butane oxidation,0.2153841,1.144706165,,,
chemicals,A.030.18.142,"Materials, chemicals, organic, solvents",kg ,Formic acid by methyl formate hydrolysis,0.772889716,5.170750977,,,
chemicals,A.030.18.143,"Materials, chemicals, organic, solvents",kg ,"Hydrochloric acid (do not use, use A.030.02.101. of plastic europe)",2.658997516,14.16861353,,,
chemicals,A.030.18.144,"Materials, chemicals, organic, solvents",kg ,Hydrogen from Reppe process,0.844886393,5.287173835,,,
chemicals,A.030.18.145,"Materials, chemicals, organic, solvents",kg ,Isobutyl acetate,0.678783706,4.327454887,,,
chemicals,A.030.18.146,"Materials, chemicals, organic, solvents",kg ,Isopropyl acetate,0.935278939,5.252382932,,,
chemicals,A.030.18.147,"Materials, chemicals, organic, solvents",kg ,Methyl acetate,0.215507675,1.145362932,,,
chemicals,A.030.18.148,"Materials, chemicals, organic, solvents",kg ,Methyl ethyl ketone,0.21560836,1.145898045,,,
chemicals,A.030.18.149,"Materials, chemicals, organic, solvents",kg ,Methyl formate,0.512391147,2.879760752,,,
