_name_key,_unit_key,_factor_key,duplicate_group_rows,duplicate_sources,duplicate_years,duplicate_source_depts,duplicate_group_key
單層瓦楞紙箱(A楞，釘箱),m2,1.21,2,MOENV CFP | Taiwan EPA,2023,環境部,單層瓦楞紙箱(A楞，釘箱) | m2 | 1.21
單層瓦楞紙箱(B楞，貼箱),m2,1.03,2,MOENV CFP | Taiwan EPA,2023,環境部,單層瓦楞紙箱(B楞，貼箱) | m2 | 1.03
單層瓦楞紙箱(B楞，釘箱),m2,0.895,2,MOENV CFP | Taiwan EPA,2023,環境部,單層瓦楞紙箱(B楞，釘箱) | m2 | 0.895
陽離子性有機界面活性劑,kg,2.95,2,MOENV CFP | Taiwan EPA,2014,經濟部工業局,陽離子性有機界面活性劑 | kg | 2.95
合成橡膠乳液(SBR Latex),kg,2.39,2,MOENV CFP | Taiwan EPA,2017,環境部,合成橡膠乳液(SBR Latex) | kg | 2.39
合成橡膠乳液(NBR Latex),kg,1.5,2,MOENV CFP | Taiwan EPA,2017,環境部,合成橡膠乳液(NBR Latex) | kg | 1.5
合成偶氮類有機顏料,kg,5.03,2,MOENV CFP | Taiwan EPA,2014,環境部,合成偶氮類有機顏料 | kg | 5.03
電力碳足跡(2013),kwh,0.66,2,MOENV CFP | Taiwan EPA,2015,環境部,電力碳足跡(2013) | kwh | 0.66
卜特蘭水泥(乾式),kg,0.94,2,MOENV CFP | Taiwan EPA,2014,環境部,卜特蘭水泥(乾式) | kg | 0.94
電力碳足跡(2012),kwh,0.69,2,MOENV CFP | Taiwan EPA,2014,環境部,電力碳足跡(2012) | kwh | 0.69
電力碳足跡(2011),kwh,0.698,2,MOENV CFP | Taiwan EPA,2013,環境部,電力碳足跡(2011) | kwh | 0.698
電力間接碳足跡(2022),kwh,0.1108,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,電力間接碳足跡(2022) | kwh | 0.1108
電力排放係數(2011),kwh,0.536,2,MOENV CFP | Taiwan EPA,2013,經濟部能源局,電力排放係數(2011) | kwh | 0.536
