category,code,name,is_fixed_asset,ghg_category,description
機械及設備,,空氣導管,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,蒸氣排出設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,通風系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,除濕系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,集塵機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,靜電除塵器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,12,儀錶及控制設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,儀錶控制系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,可程式控制器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,控制檯,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,溫度控制設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,酸液比例控制系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,電氣控制系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,13,輸送設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,反轉設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,吊鉤交換機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,壓下輥輪台,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,導槽,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,導焦車,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,廢料處理設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,作業台,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,推焦車,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,換輥設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,昇舉檯,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,上鉤機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,下鉤機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,傳送滑道,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,昇降梯,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,橫移設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,淬火機車,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,渣車,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,準備站,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,台車,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,環圈車,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,盛桶移轉車,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,盤捲車,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,穩定輥,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,穿帶板,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,輥筒,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,輥筒更換裝置,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,輥輪床,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,輸送車,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,轉向輥輪,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,轉轍器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,轉送塔,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,進料滑軌,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼帶拖車,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼捲拖架,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼板送出設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼液吊送設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼胚剔退車,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼胚抽取器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,分道器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼胚推入器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,魚雷運銑車,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,前卸載機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,剔退台設備,True,2,機械設備通常為固定資產，屬於 Category 2
